idolId,accounts,onlyAccounts,tweets,favs,retweets
72,36,,69,172,24
144,21,,37,47,6
31,34,,66,91,9
164,342,,704,945,283
143,196,,346,158,5
29,25,,43,22,2
52,27,,42,40,1
92,418,,1065,958,52
127,443,,831,1241,208
54,371,,764,2501,80
104,94,,173,238,15
76,245,,516,268,52
65,40,,63,104,11
51,29,,57,70,35
13,336,,764,1172,504
20,218,,518,652,15
99,18,,45,5,0
27,1088,,2657,7433,413
184,262,,432,181,94
200,122,,247,559,57
6,167,,403,699,53
47,17,,38,32,0
150,48,,88,202,3
116,37,,88,93,5
113,56,,113,133,6
16,12,,24,9,0
155,16,,32,24,0
151,34,,64,104,22
153,174,,394,580,84
124,111,,195,577,72
21,14,,22,22,0
146,388,,660,350,31
53,17,,26,20,0
26,89,,217,140,36
24,54,,117,67,5
122,85,,173,227,7
12,806,,2237,1477,100
9,104,,255,772,251
66,351,,614,1679,213
158,114,,201,202,8
75,321,,884,719,52
74,838,,1965,2621,1433
73,188,,384,497,60
98,483,,833,504,142
115,18,,30,20,0
187,26,,49,33,3
186,215,,613,1101,121
149,203,,524,402,37
83,51,,111,178,12
138,256,,510,565,9
190,11,,14,44,25
70,10,,11,4,0
132,124,,357,516,36
48,42,,76,169,14
55,408,,1440,2020,325
58,79,,184,165,1
56,29,,66,99,1
68,142,,354,468,11
1001,305,,563,811,26
102,12,,19,26,10
57,38,,56,157,5
50,714,,1569,2951,123
154,204,,427,1324,178
33,341,,735,1497,139
11,531,,1155,1699,102
188,41,,85,131,4
95,7,,18,10,5
34,207,,532,563,34
140,35,,53,34,3
196,67,,119,626,62
49,28,,41,54,3
89,904,,2090,4930,733
59,849,,2013,3319,154
15,340,,712,697,32
80,184,,427,873,232
105,387,,1047,3952,500
198,587,,1031,861,85
141,8,,9,8,2
162,139,,285,498,76
5,334,,935,1735,461
120,263,,450,152,12
110,16,,24,19,0
67,400,,1050,1399,432
1,340,,583,362,5
195,33,,80,118,27
63,369,,825,2261,177
114,448,,775,353,31
1002,368,,592,632,18
168,670,,1780,18993,3089
169,151,,271,270,9
185,21,,38,50,0
38,34,,48,94,13
205,172,,299,201,43
19,288,,685,4475,619
103,15,,20,10,1
170,52,,127,392,138
175,23,,46,11,2
97,585,,1259,2113,138
71,31,,50,15,0
133,239,,557,403,3
96,178,,429,709,188
135,698,,1826,3559,132
78,536,,1085,6385,731
88,516,,1181,1258,38
39,23,,51,16,2
204,311,,625,635,15
194,32,,62,62,0
77,120,,248,463,78
173,287,,681,2543,885
41,209,,576,2712,199
2,254,,606,480,41
17,132,,364,265,1
174,207,,558,888,17
136,102,,298,645,72
118,100,,205,222,10
197,220,,488,452,81
191,34,,63,50,5
117,18,,32,47,0
160,24,,31,30,1
85,445,,839,371,39
131,646,,1157,711,47
61,26,,49,100,46
165,24,,51,72,11
82,58,,105,337,90
166,9,,13,2,0
192,130,,318,409,108
64,228,,437,679,130
123,710,,1715,3543,192
62,73,,178,345,37
100,33,,63,36,2
1003,557,,994,836,43
1004,466,,692,519,24
171,207,,400,694,42
147,222,,428,264,32
40,35,,71,30,2
4,72,,158,104,28
119,109,,247,497,7
23,115,,196,56,5
84,532,,1545,1362,43
35,523,,1027,1997,86
87,44,,76,80,0
93,29,,43,23,1
101,1500,,4133,5306,339
157,618,,1373,4034,791
159,321,,695,1142,8
134,346,,1060,2739,110
28,557,,1115,1451,137
176,40,,67,47,16
125,90,,223,428,32
94,109,,249,355,22
30,30,,74,38,1
69,131,,305,571,40
139,41,,88,67,9
161,260,,601,3298,358
10,17,,27,2,0
145,18,,60,183,2
79,81,,209,366,36
86,47,,100,151,147
3,399,,1029,2357,44
81,325,,638,304,22
8,380,,835,1196,411
32,549,,1128,798,56
189,150,,352,873,85
181,156,,370,284,70
22,133,,287,423,16
193,163,,338,161,21
60,22,,35,51,0
156,47,,86,25,2
7,57,,116,99,5
130,132,,415,1157,8
37,60,,144,255,58
126,564,,1076,2147,380
172,408,,841,1459,27
36,32,,62,168,3
90,232,,551,365,26
142,56,,108,343,27
45,22,,28,49,0
14,28,,62,71,35
128,136,,309,618,164
129,187,,328,93,3
25,312,,835,6805,320
206,722,,1204,1479,66
18,81,,166,61,5
112,33,,57,65,4
163,450,,879,532,16
91,176,,416,954,41
137,293,,898,5148,1177
167,65,,160,391,13
121,142,,302,817,153
111,138,,448,897,221
