datetime, generalTweets, generalAccounts, voiceTweets, voiceAccounts
2020-04-17-15-00-00,,,,
2020-04-17-16-00-00,,,,
2020-04-17-17-00-00,,,,
2020-04-17-18-00-00,,,,
2020-04-17-19-00-00,,,,
2020-04-17-20-00-00,,,,
2020-04-17-21-00-00,,,,
2020-04-17-22-00-00,,,,
2020-04-17-23-00-00,,,,
2020-04-18-00-00-00,,,,
2020-04-18-01-00-00,,,,
2020-04-18-02-00-00,,,,
2020-04-18-03-00-00,,,,
2020-04-18-04-00-00,,,,
2020-04-18-05-00-00,,,,
2020-04-18-06-00-00,,,,
2020-04-18-07-00-00,,,,
2020-04-18-08-00-00,,,,
2020-04-18-09-00-00,,,,
2020-04-18-10-00-00,,,,
2020-04-18-11-00-00,,,,
2020-04-18-12-00-00,,,,
2020-04-18-13-00-00,,,,
2020-04-18-14-00-00,,,,
2020-04-18-15-00-00,,,,
2020-04-18-16-00-00,,,,
2020-04-18-17-00-00,,,,
2020-04-18-18-00-00,,,,
2020-04-18-19-00-00,,,,
2020-04-18-20-00-00,,,,
2020-04-18-21-00-00,,,,
2020-04-18-22-00-00,,,,
2020-04-18-23-00-00,,,,
2020-04-19-00-00-00,,,,
2020-04-19-01-00-00,,,,
2020-04-19-02-00-00,,,,
2020-04-19-03-00-00,,,,
2020-04-19-04-00-00,,,,
2020-04-19-05-00-00,,,,
2020-04-19-06-00-00,,,,
2020-04-19-07-00-00,,,,
2020-04-19-08-00-00,,,,
2020-04-19-09-00-00,,,,
2020-04-19-10-00-00,,,,
2020-04-19-11-00-00,,,,
2020-04-19-12-00-00,,,,
2020-04-19-13-00-00,,,,
2020-04-19-14-00-00,,,,
2020-04-19-15-00-00,,,,
2020-04-19-16-00-00,,,,
2020-04-19-17-00-00,,,,
2020-04-19-18-00-00,,,,
2020-04-19-19-00-00,,,,
2020-04-19-20-00-00,,,,
2020-04-19-21-00-00,,,,
2020-04-19-22-00-00,,,,
2020-04-19-23-00-00,,,,
2020-04-20-00-00-00,,,,
2020-04-20-01-00-00,,,,
2020-04-20-02-00-00,55011,,,
2020-04-20-03-00-00,55233,,,
2020-04-20-04-00-00,55350,,,
2020-04-20-05-00-00,55432,,,
2020-04-20-06-00-00,55562,,,
2020-04-20-07-00-00,55814,,,
2020-04-20-08-00-00,56186,,,
2020-04-20-09-00-00,56561,,,
2020-04-20-10-00-00,56820,,,
