idolId,accounts,onlyAccounts,tweets,favs,retweets
72,227,,418,984,110
144,68,,128,183,17
31,124,,242,482,13
164,0,,0,0,0
143,0,,0,0,0
29,82,,119,77,2
52,83,,112,130,1
92,1872,,3549,3502,146
127,0,,0,0,0
54,0,,0,0,0
104,476,,941,1503,122
76,0,,0,0,0
65,235,,393,755,103
51,104,,154,263,151
13,0,,0,0,0
20,696,,1643,2558,82
99,62,,92,15,3
27,0,,0,0,0
184,0,,0,0,0
200,646,,1013,2939,243
6,1229,,3219,8954,537
47,59,,97,109,1
150,0,,0,0,0
116,186,,388,431,22
113,205,,392,775,54
16,52,,100,94,1
155,102,,156,274,7
151,102,,158,397,87
153,0,,0,0,0
124,863,,1783,6248,904
21,38,,54,49,0
146,0,,0,0,0
53,71,,118,125,1
26,424,,792,820,291
24,292,,496,951,202
122,561,,1016,2321,261
12,0,,0,0,0
9,247,,532,2181,615
66,0,,0,0,0
158,0,,0,0,0
75,0,,0,0,0
74,0,,0,0,0
73,0,,0,0,0
98,0,,0,0,0
115,58,,107,100,3
187,67,,133,99,15
186,0,,0,0,0
149,0,,0,0,0
83,201,,346,568,31
138,0,,0,0,0
190,66,,117,469,256
70,81,,127,231,21
132,1306,,2652,5199,328
48,139,,274,694,65
55,1016,,2569,4408,592
58,423,,749,1096,31
56,174,,309,534,11
68,724,,1480,2968,64
1001,0,,0,0,0
102,63,,88,146,56
57,507,,1158,4617,49
50,0,,0,0,0
154,0,,0,0,0
33,0,,0,0,0
11,0,,0,0,0
188,273,,553,742,23
95,13,,25,20,13
34,1050,,2126,3039,163
140,143,,228,219,8
196,298,,565,2651,163
49,105,,186,253,11
89,0,,0,0,0
59,0,,0,0,0
15,0,,0,0,0
80,0,,0,0,0
105,0,,0,0,0
198,0,,0,0,0
141,77,,122,29,2
162,1079,,1749,4649,789
5,0,,0,0,0
120,0,,0,0,0
110,39,,66,43,2
67,0,,0,0,0
1,0,,0,0,0
195,119,,215,287,90
63,0,,0,0,0
114,0,,0,0,0
1002,0,,0,0,0
168,0,,0,0,0
169,0,,0,0,0
185,88,,161,372,16
38,117,,185,257,24
205,1754,,3071,2079,261
19,0,,0,0,0
103,72,,149,117,6
170,207,,412,1529,577
175,95,,169,58,14
97,0,,0,0,0
71,85,,139,66,4
133,0,,0,0,0
96,989,,2001,3541,847
135,0,,0,0,0
78,0,,0,0,0
88,0,,0,0,0
39,116,,193,192,4
204,2307,,3989,5506,116
194,129,,223,311,4
77,490,,940,2680,496
173,0,,0,0,0
41,0,,0,0,0
2,0,,0,0,0
17,641,,1254,1253,70
174,0,,0,0,0
136,424,,1017,2604,254
118,564,,1102,1656,68
197,0,,0,0,0
191,0,,0,0,0
117,122,,224,688,36
160,77,,112,129,9
85,0,,0,0,0
131,0,,0,0,0
61,117,,216,556,262
165,64,,108,216,32
82,222,,396,1135,221
166,28,,38,28,2
192,0,,0,0,0
64,0,,0,0,0
123,0,,0,0,0
62,513,,1136,2345,308
100,156,,280,192,1
1003,0,,0,0,0
1004,0,,0,0,0
171,0,,0,0,0
147,0,,0,0,0
40,124,,202,107,4
4,375,,732,533,65
119,733,,1604,4529,84
23,0,,0,0,0
84,0,,0,0,0
35,0,,0,0,0
87,229,,376,622,7
93,173,,256,98,7
101,0,,0,0,0
157,0,,0,0,0
159,0,,0,0,0
134,0,,0,0,0
28,0,,0,0,0
176,207,,358,160,61
125,522,,1044,2670,333
94,0,,0,0,0
30,93,,163,121,2
69,1055,,2612,7238,669
139,264,,495,347,48
161,0,,0,0,0
10,32,,39,9,0
145,89,,196,606,19
79,516,,1006,2520,273
86,185,,343,560,546
3,0,,0,0,0
81,0,,0,0,0
8,0,,0,0,0
32,0,,0,0,0
189,999,,2290,5803,520
181,0,,0,0,0
22,0,,0,0,0
193,0,,0,0,0
60,119,,196,305,5
156,241,,426,241,16
7,235,,443,447,15
130,773,,1549,5023,44
37,354,,635,1397,283
126,0,,0,0,0
172,0,,0,0,0
36,128,,219,768,14
90,1250,,2492,2528,188
142,253,,552,1766,136
45,105,,178,382,2
14,84,,184,179,82
128,0,,0,0,0
129,0,,0,0,0
25,0,,0,0,0
206,0,,0,0,0
18,547,,1130,1613,64
112,185,,304,393,5
163,0,,0,0,0
91,1020,,2110,6132,405
137,0,,0,0,0
167,399,,771,1802,45
121,0,,0,0,0
111,517,,1184,2539,592
